Date,Time,Temperature,Vibration,Current_P_R,Current_P_S,Current_P_T,Volt_P_R,Volt_P_S,Volt_P_T
2026-06-24,16:17:10,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:17:32,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:18:17,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:18:42,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:20:37,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:22:44,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:23:47,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:24:57,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:36:18,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:38:19,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:40:13,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:42:00,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:44:53,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:45:19,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:45:32,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:45:43,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:46:05,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:46:51,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,16:47:23,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,17:02:31,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,17:02:55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,17:03:12,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,17:08:09,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
2026-06-24,17:10:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
