Date,Time,id,device,type,message,level,value,unit
2026-05-18,06:40:24,0,Motor,Temp,Temp is very hight,High,84,*C
2026-05-18,06:44:59,0,Motor,Temp,Temp is very hight,High,84,*C
2026-05-18,06:50:43,0,pump,speed,Speed is very high,Low,121,RPM
2026-05-18,06:52:03,0,pump,speed,Speed is very high,Low,121,RPM
2026-05-18,07:03:53,0,pump,speed,Speed is very high,Low,121,RPM
2026-05-18,07:04:09,0,pump,speed,Speed is very high,Low,121,RPM
2026-05-22,15:40:31,0,motor,temp,mustafa,low,45,55
2026-05-22,15:41:37,0,motor,temp,mustafa,low,45,km
2026-05-22,15:42:54,0,motor,temp,mustafa,low,45,km
2026-05-22,20:06:47,6,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:06:47,7,belt,tension,Belt Tension is HIGH,HIGH,1122.0,N
2026-05-22,20:07:03,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:07:03,2,belt,tension,Belt Tension is HIGH,HIGH,1122.0,N
2026-05-22,20:10:08,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:10:08,2,belt,speed,Belt Speed is HIGH,HIGH,555.0,m/s
2026-05-22,20:10:19,3,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:10:19,4,belt,speed,Belt Speed is HIGH,HIGH,555.0,m/s
2026-05-22,20:10:33,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:10:33,2,belt,speed,Belt Speed is HIGH,HIGH,555.0,m/s
2026-05-22,20:11:02,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:11:02,2,belt,alignment,Belt Alignment IS : LOW,LOW,3.5,mm
2026-05-22,20:11:41,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:12:09,1,motor,current,Motor Volt is HIGH,HIGH,221.3,V
2026-05-22,20:12:47,2,motor,volt,Motor Volt is HIGH,HIGH,221.3,V
2026-05-22,20:12:56,3,motor,volt,Motor Volt is HIGH,HIGH,221.3,V
2026-05-22,20:13:21,1,motor,volt,Motor Volt is HIGH,HIGH,221.3,V
2026-05-22,20:14:46,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:14:53,2,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:15:28,3,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:19:37,4,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:20:57,5,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:21:06,6,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:24:30,7,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:24:36,8,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:24:43,9,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:38:17,10,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:38:48,11,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:49:44,12,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:51:37,13,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:53:06,14,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,20:53:44,15,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,21:02:13,16,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,21:02:46,17,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-22,21:03:50,18,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:07:05,19,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:09:04,20,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:11:04,21,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:12:11,22,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:12:51,23,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:16:55,24,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:17:21,25,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:18:05,14,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:18:35,15,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:18:46,16,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:18:54,17,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:19:16,18,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:19:23,19,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:19:32,20,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:19:49,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:20:08,1,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:20:14,2,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,07:35:13,3,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,18:25:51,4,motor,current,Motor Current is LOW,LOW,7.7,A
2026-05-23,18:25:58,5,motor,current,Motor Current is LOW,LOW,7.7,A
