Date,Time,Volt,Current,Vibration
2026-06-24,16:17:10,18.3,55.0,55.0
2026-06-24,16:17:32,18.3,55.0,55.0
2026-06-24,16:18:17,18.3,55.0,55.0
2026-06-24,16:18:42,18.3,55.0,55.0
2026-06-24,16:20:37,18.3,55.0,55.0
2026-06-24,16:22:44,18.3,55.0,55.0
2026-06-24,16:23:47,18.3,55.0,55.0
2026-06-24,16:24:57,18.3,55.0,55.0
2026-06-24,16:36:18,18.3,55.0,55.0
2026-06-24,16:38:19,18.3,55.0,55.0
2026-06-24,16:40:13,18.3,55.0,55.0
2026-06-24,16:42:00,18.3,55.0,55.0
2026-06-24,16:44:53,18.3,55.0,55.0
2026-06-24,16:45:19,18.3,55.0,55.0
2026-06-24,16:45:32,18.3,55.0,55.0
2026-06-24,16:45:43,18.3,55.0,55.0
2026-06-24,16:46:05,18.3,55.0,55.0
2026-06-24,16:46:51,18.3,55.0,55.0
2026-06-24,16:47:23,18.3,55.0,55.0
2026-06-24,17:02:31,18.3,55.0,55.0
2026-06-24,17:02:55,18.3,55.0,55.0
2026-06-24,17:03:12,18.3,55.0,55.0
2026-06-24,17:08:09,18.3,55.0,55.0
2026-06-24,17:10:59,18.3,0.0,0.0
