Date,Time,AC_Motor_Health,DC_Motor_Health,Belt_Health
2026-06-24,16:17:10,100,100,61
2026-06-24,16:17:32,90,93,81
2026-06-24,16:18:17,90,93,81
2026-06-24,16:18:42,90,93,81
2026-06-24,16:20:37,90,93,81
2026-06-24,16:22:44,90,93,81
2026-06-24,16:23:47,90,93,81
2026-06-24,16:24:57,90,93,81
2026-06-24,16:36:18,90,93,81
2026-06-24,16:38:19,90,93,81
2026-06-24,16:40:13,90,93,81
2026-06-24,16:42:00,90,93,81
2026-06-24,16:44:53,90,93,81
2026-06-24,16:45:19,90,93,81
2026-06-24,16:45:32,90,93,81
2026-06-24,16:45:43,90,93,81
2026-06-24,16:46:05,90,93,81
2026-06-24,16:46:51,90,93,81
2026-06-24,16:47:23,90,93,81
2026-06-24,17:02:31,90,93,81
2026-06-24,17:02:55,90,93,81
2026-06-24,17:03:12,90,93,81
2026-06-24,17:08:09,90,93,81
2026-06-24,17:10:59,90,93,81
2026-06-24,17:24:21,94,96,81
2026-06-24,17:24:45,98,99,81
2026-06-24,17:27:12,100,100,81
2026-06-24,17:27:30,100,100,81
2026-06-24,17:30:30,100,100,81
2026-06-24,17:30:40,100,100,81
2026-06-24,17:30:51,100,100,81
2026-06-24,17:33:18,100,100,81
2026-06-24,18:46:03,100,100,81
2026-06-24,18:47:36,100,100,82
